date,eth,dash,btc,bch,ltc,xmr,zec
2009/01/09,,,102.857,,,,
2009/01/10,,,23.607,,,,
2009/01/11,,,15.484,,,,
2009/01/12,,,15.319,,,,
2009/01/13,,,11.707,,,,
2009/01/14,,,11.163,,,,
2009/01/15,,,11.429,,,,
2009/01/16,,,13.333,,,,
2009/01/17,,,13.211,,,,
2009/01/18,,,13.458,,,,
2009/01/19,,,12.522,,,,
2009/01/20,,,12.632,,,,
2009/01/21,,,14.118,,,,
2009/01/22,,,15.824,,,,
2009/01/23,,,17.143,,,,
2009/01/24,,,7.164,,,,
2009/01/25,,,7.539,,,,
2009/01/26,,,15.0,,,,
2009/01/27,,,14.845,,,,
2009/01/28,,,12.857,,,,
2009/01/29,,,11.901,,,,
2009/01/30,,,12.308,,,,
2009/01/31,,,10.435,,,,
2009/02/01,,,12.743,,,,
2009/02/02,,,11.25,,,,
2009/02/03,,,10.36,,,,
2009/02/04,,,12.101,,,,
2009/02/05,,,11.429,,,,
2009/02/06,,,11.803,,,,
2009/02/07,,,11.163,,,,
2009/02/08,,,10.909,,,,
2009/02/09,,,10.746,,,,
2009/02/10,,,12.0,,,,
2009/02/11,,,10.827,,,,
2009/02/12,,,12.101,,,,
2009/02/13,,,11.613,,,,
2009/02/14,,,10.588,,,,
2009/02/15,,,11.25,,,,
2009/02/16,,,11.803,,,,
2009/02/17,,,12.308,,,,
2009/02/18,,,12.203,,,,
2009/02/19,,,11.613,,,,
2009/02/20,,,11.803,,,,
2009/02/21,,,12.632,,,,
2009/02/22,,,11.901,,,,
2009/02/23,,,13.333,,,,
2009/02/24,,,13.585,,,,
2009/02/25,,,13.714,,,,
2009/02/26,,,13.458,,,,
2009/02/27,,,12.522,,,,
2009/02/28,,,14.545,,,,
2009/03/01,,,13.714,,,,
2009/03/02,,,13.333,,,,
2009/03/03,,,13.714,,,,
2009/03/04,,,13.846,,,,
2009/03/05,,,12.857,,,,
2009/03/06,,,12.308,,,,
2009/03/07,,,13.211,,,,
2009/03/08,,,12.522,,,,
2009/03/09,,,13.333,,,,
2009/03/10,,,13.458,,,,
