day,_0_to_1,_1_to_10,_10_to_100,_100_to_1000,_1000_to_100000,More_10000
2018-08-17 00:00:00 UTC,59675,2589,554,111,12,2
2018-07-18 00:00:00 UTC,83456,4154,806,122,15,0
2018-06-18 00:00:00 UTC,76763,4096,1033,128,12,0
2018-05-19 00:00:00 UTC,73069,4095,1032,138,13,0
2018-04-19 00:00:00 UTC,94606,3536,893,139,7,0
2018-03-20 00:00:00 UTC,62454,3806,1123,212,11,0
2018-02-18 00:00:00 UTC,107372,4502,1149,158,13,0
2018-01-19 00:00:00 UTC,104440,4714,1500,237,22,1
2017-12-20 00:00:00 UTC,105438,6729,1864,259,33,0
2017-11-20 00:00:00 UTC,141886,10740,2489,296,27,3
2017-10-21 00:00:00 UTC,108327,9036,2725,302,24,3
2017-09-21 00:00:00 UTC,84877,7300,2661,493,18,0
2017-08-22 00:00:00 UTC,85638,8644,2802,772,33,11
2017-07-23 00:00:00 UTC,93184,9625,3181,458,46,0
2017-06-23 00:00:00 UTC,77793,8944,2690,272,23,1
2017-05-24 00:00:00 UTC,93691,10980,3620,379,30,0
2017-04-24 00:00:00 UTC,80159,10510,3207,474,28,0
2017-03-25 00:00:00 UTC,77366,9283,3186,275,15,0
2017-02-23 00:00:00 UTC,86697,10959,3659,448,32,1
2017-01-24 00:00:00 UTC,82846,10365,5071,524,19,0
2016-12-25 00:00:00 UTC,88780,12780,4614,398,17,1
2016-11-25 00:00:00 UTC,92127,13178,4159,396,20,0
2016-10-26 00:00:00 UTC,92235,13682,3739,296,18,0
2016-09-26 00:00:00 UTC,103334,13525,3199,229,12,0
2016-08-27 00:00:00 UTC,106312,12166,3379,316,11,1
2016-07-28 00:00:00 UTC,107109,11894,3733,295,14,0
2016-06-28 00:00:00 UTC,116871,11595,3147,237,15,0
2016-05-29 00:00:00 UTC,155133,15417,4471,330,38,0
2016-04-29 00:00:00 UTC,185267,21375,4820,323,25,0
2016-03-30 00:00:00 UTC,206277,23367,4802,335,19,0
2016-02-29 00:00:00 UTC,218655,31216,5361,310,24,1
2016-01-30 00:00:00 UTC,216773,36434,6783,311,27,0
2015-12-31 00:00:00 UTC,224295,24135,4156,382,32,0
2015-12-01 00:00:00 UTC,227873,45218,10879,273,19,0
2015-11-01 00:00:00 UTC,192064,36352,11872,330,16,1
2015-10-02 00:00:00 UTC,167006,27733,7182,369,27,0
2015-09-02 00:00:00 UTC,138231,19911,4107,290,51,0
2015-08-03 00:00:00 UTC,125784,17414,3694,298,37,0
2015-07-04 00:00:00 UTC,118953,15952,3464,309,20,0
2015-06-04 00:00:00 UTC,132612,16990,4135,375,20,0
2015-05-05 00:00:00 UTC,121552,15934,3455,297,11,0
2015-04-05 00:00:00 UTC,112744,14931,3259,276,17,2
2015-03-06 00:00:00 UTC,108650,14436,3317,308,29,2
2015-02-04 00:00:00 UTC,107746,14739,3291,301,13,0
2015-01-05 00:00:00 UTC,100171,14498,3130,342,32,2
2014-12-06 00:00:00 UTC,98128,13186,2963,279,24,3
2014-11-06 00:00:00 UTC,102158,12874,3520,330,24,0
2014-10-07 00:00:00 UTC,98820,12912,3856,332,26,1
2014-09-07 00:00:00 UTC,99393,12785,3613,330,32,2
2014-08-08 00:00:00 UTC,97929,11252,3156,306,27,3
2014-07-09 00:00:00 UTC,93856,10872,2761,255,31,1
2014-06-09 00:00:00 UTC,87907,10638,2555,272,28,2
2014-05-10 00:00:00 UTC,87264,11225,2860,288,32,0
2014-04-10 00:00:00 UTC,79907,10412,3053,319,23,1
2014-03-11 00:00:00 UTC,83473,10643,2881,291,33,0
2014-02-09 00:00:00 UTC,88196,11930,3756,317,32,4
2014-01-10 00:00:00 UTC,83771,10535,2772,304,56,3
2013-12-11 00:00:00 UTC,76864,11288,3221,397,33,4
2013-11-11 00:00:00 UTC,93105,17637,5243,696,41,2
2013-10-12 00:00:00 UTC,48315,11421,3558,548,47,0
2013-09-12 00:00:00 UTC,34492,8835,2613,448,30,2
2013-08-13 00:00:00 UTC,32256,8114,2661,474,40,1
2013-07-14 00:00:00 UTC,26220,6880,2135,410,31,3
2013-06-14 00:00:00 UTC,23081,7252,2172,330,27,0
2013-05-15 00:00:00 UTC,21744,6792,2319,373,33,4
2013-04-15 00:00:00 UTC,22460,6938,2747,407,49,3
2013-03-16 00:00:00 UTC,24978,10025,5143,715,47,2
2013-02-14 00:00:00 UTC,16571,6902,4258,635,58,1
2013-01-15 00:00:00 UTC,13316,5853,4865,576,58,1
2012-12-16 00:00:00 UTC,11765,4549,4218,427,29,1
2012-11-16 00:00:00 UTC,8974,3732,3352,380,24,0
2012-10-17 00:00:00 UTC,5379,2038,1379,244,19,0
2012-09-17 00:00:00 UTC,5091,1775,1011,174,20,0
2012-08-18 00:00:00 UTC,3800,1457,852,166,9,0
2012-07-19 00:00:00 UTC,3256,1196,777,166,17,1
2012-06-19 00:00:00 UTC,2314,943,523,121,14,2
2012-05-20 00:00:00 UTC,1466,587,345,89,11,1
2012-04-20 00:00:00 UTC,1211,497,242,63,4,1
2012-03-21 00:00:00 UTC,806,270,173,34,8,1
2012-02-20 00:00:00 UTC,801,209,119,27,9,0
2012-01-21 00:00:00 UTC,532,192,73,20,4,0
2011-12-22 00:00:00 UTC,342,152,50,15,5,0
2011-11-22 00:00:00 UTC,261,114,73,19,3,0
2011-10-23 00:00:00 UTC,194,74,40,12,2,0
2011-09-23 00:00:00 UTC,193,66,27,3,1,0
2011-08-24 00:00:00 UTC,334,57,29,5,0,0
2011-07-25 00:00:00 UTC,283,83,33,5,2,1
2011-06-25 00:00:00 UTC,275,75,23,8,1,0
2011-05-26 00:00:00 UTC,204,51,27,3,2,1
2011-04-26 00:00:00 UTC,104,18,14,4,0,0
2011-03-27 00:00:00 UTC,87,20,11,3,0,1
2011-02-25 00:00:00 UTC,74,12,11,5,1,0
2011-01-26 00:00:00 UTC,57,3,3,3,1,0
2010-12-27 00:00:00 UTC,40,9,2,2,0,1
2010-11-27 00:00:00 UTC,29,1,1,1,0,0
2010-10-28 00:00:00 UTC,27,5,3,1,0,0
2010-09-28 00:00:00 UTC,15,2,1,2,0,0
2010-08-29 00:00:00 UTC,12,2,2,0,0,0
2010-07-30 00:00:00 UTC,15,4,1,5,1,0
2010-06-30 00:00:00 UTC,23,6,3,2,0,0
2010-05-31 00:00:00 UTC,5,1,3,1,1,1
2010-05-01 00:00:00 UTC,2,1,1,2,0,0
2010-04-01 00:00:00 UTC,3,1,2,3,1,0
2010-01-31 00:00:00 UTC,2,0,0,0,0,0
2010-01-01 00:00:00 UTC,0,0,1,1,0,0
2009-11-02 00:00:00 UTC,0,0,1,0,0,0
2009-10-03 00:00:00 UTC,0,0,0,1,0,0
2009-01-06 00:00:00 UTC,1,0,1,0,0,0
