day,_0_to_1,_1_to_10,_10_to_100,_100_to_1000,_1000_to_100000,More_10000
2018-09-06 00:00:00 UTC,7745.3140677299962,36067.509172280013,170403.90452023005,651356.33456712007,266913.41158522,10501.93233241
2018-08-30 00:00:00 UTC,11875.394404040013,52009.617117550006,274004.63962109,702915.66484211979,151520.33209091998,
2018-08-23 00:00:00 UTC,9540.8779900199934,35159.52351354,153486.32517461007,387101.42618578,1311355.9730446,
2018-08-16 00:00:00 UTC,11687.065487639982,41676.576775820009,198859.55637781997,616190.04807987984,557111.76397834,11837.00599
2018-08-09 00:00:00 UTC,17491.594049179988,49191.77246374001,219383.08019701,945600.34443098982,245898.04563468005,
2018-08-02 00:00:00 UTC,19201.935958160022,54334.104220079978,186528.56415673997,366977.27270632994,2043514.5166483398,
2018-07-26 00:00:00 UTC,15141.516447979993,62541.437585279993,299878.87679647992,524472.89829684,235357.76159884,
2018-07-19 00:00:00 UTC,15358.40050809003,65515.59300192001,359144.21322329994,572051.31109979,196718.87046163,
2018-07-12 00:00:00 UTC,14061.846323400025,59742.39492037001,332088.43235249986,738688.74018235994,296202.62133565,
2018-07-05 00:00:00 UTC,15446.285380439995,50930.13615036002,376732.63663583,608943.50036807987,669801.14317948988,
2018-06-28 00:00:00 UTC,14941.673614650002,53902.03150563,306035.00141067989,632243.84704739,934967.66212101,
2018-06-21 00:00:00 UTC,13172.950510959978,59165.538091319992,240514.31743155007,641538.60222324007,2454295.8446709,
2018-06-14 00:00:00 UTC,10898.776667380022,51502.351165260006,322701.56119663,434165.10578598,3084098.41971529,
2018-06-07 00:00:00 UTC,10811.478345770009,63536.69031023002,313529.30757073994,912318.96617444,936119.36198526016,
2018-05-31 00:00:00 UTC,8695.272759370011,50912.431223330022,351867.01341193996,716403.07147130009,740205.74731873,
2018-05-24 00:00:00 UTC,8995.1454806800084,47207.56623657998,313609.64819468994,604763.63914644,232386.55953510004,
2018-05-17 00:00:00 UTC,9442.7824261799979,52397.115949579988,450003.84060413996,644675.79513841006,199587.29189358,
2018-05-10 00:00:00 UTC,8646.7733045799887,52684.139211159978,459538.67721725994,1007341.7603164798,529226.01751997008,
2018-05-03 00:00:00 UTC,8621.8161211599981,52560.785631139996,448442.0124423501,1475747.5935305003,618729.17914399,
2018-04-26 00:00:00 UTC,9561.9188964000041,50072.361907870021,456014.4002712901,1054627.27931726,389184.53074161004,
2018-04-19 00:00:00 UTC,11408.865708769988,64346.230208989982,332467.60596389993,1117906.97230576,1505024.27782602,
2018-04-12 00:00:00 UTC,11147.092345019999,45714.41010749001,334104.2322096501,1104150.3954924198,1217221.4658173202,
2018-04-05 00:00:00 UTC,7302.3235558500046,43508.00829357,304097.82433462009,945487.48859548988,859286.26040485,
2018-03-29 00:00:00 UTC,9471.7933634099936,47775.372989520009,308415.48304133996,1105255.15071931,1227413.75821753,
2018-03-22 00:00:00 UTC,10559.06879188,64586.46805666,343538.27895756,622641.31885966,1688199.71049304,
2018-03-15 00:00:00 UTC,11073.151181490006,67136.16873906,551774.03834918013,800397.89057578018,3569354.9274141206,
2018-03-08 00:00:00 UTC,9943.71512391999,59266.28607873,382534.63569665008,842904.20060837,90705.50163084,
