day,_0_to_1,_1_to_10,_10_to_100,_100_to_1000,_1000_to_100000,More_10000
2018-07-18 00:00:00 UTC,71716.20636095012,247576.26556112006,1148091.0230193597,2708283.514057569,2798695.3396328297,
2018-06-18 00:00:00 UTC,59803.91542556011,237360.59970290004,1326097.0852514703,2611866.0706033804,5806745.686189449,
2018-05-19 00:00:00 UTC,40037.2259165,225494.72108078992,1451841.3496603891,2903001.679451459,3713827.1665164097,
2018-04-19 00:00:00 UTC,40816.401014700066,233656.99157666988,1867258.7041467517,4883608.27194187,3053125.01769473,
2018-03-20 00:00:00 UTC,41434.50650253003,218775.25063355034,1439847.4011847097,4009216.033176601,5230567.84514033,
2018-02-18 00:00:00 UTC,40785.751635929984,275585.84811554034,1351844.8856745008,3025229.35105123,4279876.288417,
2017-12-20 00:00:00 UTC,85857.93022770993,638587.1267403399,8220374.673001025,5239995.226212542,3950523.265072141,
2017-09-21 00:00:00 UTC,60185.53943572988,335215.2138537998,3458881.6919699293,2101748.6795216803,406964.62051218003,
2017-07-23 00:00:00 UTC,52197.40264889016,269927.67799479014,3603048.199539289,7087696.581386132,3427097.8988801804,
2017-05-24 00:00:00 UTC,57038.06405350987,388923.9123232203,4047826.4732149583,6859411.509060124,2432300.51100361,
2017-04-24 00:00:00 UTC,62771.46993911009,482078.2340756712,6242783.913506453,1.3851216304192686E7,6913944.342883151,
2017-03-25 00:00:00 UTC,56454.93450219012,377984.7003498203,4837377.283919383,6450593.083537239,2.337865676672882E7,
2017-01-24 00:00:00 UTC,60283.459989289935,394033.02559003065,3189614.1687738732,8342147.023671222,6777509.342021462,
2016-11-25 00:00:00 UTC,67578.90738692011,358981.92930781003,2512756.052646058,2923051.3300969894,1362177.46283824,
2016-10-26 00:00:00 UTC,70988.15414870033,372488.31796429056,2418929.27132443,3321963.5368271614,787385.17349579,
2016-09-26 00:00:00 UTC,72009.24096727006,412303.2098429604,2138762.990615759,3240599.6215408216,524045.8312115,
2016-07-28 00:00:00 UTC,88147.67274382953,391596.48257640033,1959612.970541681,2945575.4991651597,413732.7324727201,
2016-06-28 00:00:00 UTC,87166.95114008978,368533.69370472,1775483.6863520797,3109945.283690439,240023.86327221995,
2016-05-29 00:00:00 UTC,117815.5262377404,487054.5400325903,2069714.12538658,5486949.923162121,703135.70681329,
2016-04-29 00:00:00 UTC,153694.2659192804,616513.4571006605,1630981.3211206798,3284095.0009305603,617790.67991446,
2016-03-30 00:00:00 UTC,154705.47586118017,609023.0843401301,2066373.129421339,3616665.720701619,274795.57200893,
2016-01-30 00:00:00 UTC,174860.2939506994,691335.0519567003,1844155.685332329,1507498.5512267798,356197.1797723799,
2015-12-31 00:00:00 UTC,230005.28819550955,583591.4096368996,1432194.5700279889,1215005.30525273,229602.27375221002,
2015-12-01 00:00:00 UTC,194723.74222386064,850622.1949100984,2151054.6208804967,2031762.1570968498,333742.29250284,
2015-10-02 00:00:00 UTC,139286.53159714048,718712.6665890804,1590472.8744343696,573645.4413933998,251025.96667266,
2015-09-02 00:00:00 UTC,150766.2694389904,784710.1721456887,1303199.4009490788,1015742.0220459803,406625.31598173996,
2015-08-03 00:00:00 UTC,125503.46455427955,529706.5270428886,1277785.1881116102,838340.1809020202,348051.00411987,
2015-07-04 00:00:00 UTC,107637.72147417006,450390.40626485005,1101523.6843978195,569842.6253219099,234765.64522340003,
2015-06-04 00:00:00 UTC,126866.07225161992,419870.5908603097,1161724.5632826411,3144488.89659338,153186.24322836995,
2015-05-05 00:00:00 UTC,116433.39150482991,563579.1848467407,1418981.0257448202,1743249.4635948895,150623.14958557,
2015-02-04 00:00:00 UTC,85287.40320920997,276960.7442090503,975817.1983506002,647508.1602134003,271675.05550362,
2014-11-06 00:00:00 UTC,92050.92742354987,293777.36281618004,1120949.7868758892,2382849.1090447297,3829832.5596098006,
2014-05-10 00:00:00 UTC,46164.97616210993,158293.59270918005,424785.9648065698,526120.82381064,277887.0743686,
2014-03-11 00:00:00 UTC,45237.51555926996,156018.6326763199,330998.20662740007,728380.9173421401,361592.98077778,
2013-10-12 00:00:00 UTC,39372.79901141001,163078.55571723997,565141.7187125004,1089000.5908950702,816854.1829056802,
2013-06-14 00:00:00 UTC,28377.49852578,136955.3793795801,317845.48386647005,301238.14816229005,231923.83757784,
2012-11-16 00:00:00 UTC,15451.266471270015,96444.88426780005,388938.91354521003,462906.87048315007,267907.54560828,
2012-10-17 00:00:00 UTC,12379.931043029988,77315.89758213,262685.10992709995,326768.05172738,121660.35134307001,
2012-09-17 00:00:00 UTC,11341.474999779995,66942.12472541997,198426.22409806002,287370.76313100004,96281.85510995,
2012-08-18 00:00:00 UTC,12353.26251955999,101326.70230478005,306112.7582542701,232777.0008339,44156.822236190004,
2012-02-20 00:00:00 UTC,427.5774042,7026.175933139999,78325.67433267,31485.884556139994,72170.81850941,
2012-01-21 00:00:00 UTC,1348.1252512699998,35887.23943722999,1248816.2236561908,290930.95405161,7465.104519570001,
2011-12-22 00:00:00 UTC,933.9546775599999,22724.650541810006,655815.38762241,445616.1562273801,11921.52227398,
2011-11-22 00:00:00 UTC,127.55153291999999,1433.1565445800002,7485.498955139999,11100.916439980001,10163.68171601,
2011-10-23 00:00:00 UTC,306.44266108,3435.03183845,84228.97494715,32524.063426259996,5092.24424401,
2011-09-23 00:00:00 UTC,259.87413916,7507.05883674,18104.53693891,1047.75876219,1809.8893508,
2011-08-24 00:00:00 UTC,226.32403478,5714.46403084,2090.12582448,3101.92920673,,
2011-06-25 00:00:00 UTC,52.477649,348.25115488999995,1208.8082271600001,3952.4749800000004,1636.6892481,
2011-04-26 00:00:00 UTC,16.825750290000002,76.51863298,642.07296075,2880.37,,
2011-02-25 00:00:00 UTC,4.56131904,78.36633152,550.1180627200001,3836.44,1841.86666612,
2011-01-26 00:00:00 UTC,2.9400000000000004,8.1,137.55,1194.16,4311.29,
2010-11-27 00:00:00 UTC,1.7800000000000002,9.18,50.05,196.0,,
2010-10-28 00:00:00 UTC,2.7799999999999994,34.010000000000005,76.01,183.85,,
2010-09-28 00:00:00 UTC,2.1,10.0,50.0,499.65,,
2010-08-29 00:00:00 UTC,1.8800000000000001,2.34,121.0,,,
2010-07-30 00:00:00 UTC,1.86,11.01,20.37,1433.1499999999999,1446.46,
2010-06-30 00:00:00 UTC,1.1600000000000001,10.1,60.01,475.94,,
2010-05-01 00:00:00 UTC,0.02,5.0,50.0,506.07,,
2010-04-01 00:00:00 UTC,1.5,5.0,191.06,1900.0,7641.06,
2010-01-31 00:00:00 UTC,1.0,,,,,
2010-01-01 00:00:00 UTC,,,99.0,200.0,,
2009-11-02 00:00:00 UTC,,,20.0,,,
2009-10-03 00:00:00 UTC,,,,700.0,,
2009-01-06 00:00:00 UTC,1.01,,50.0,,,
2012-05-20 00:00:00 UTC,6116.399691290004,41986.78441398,56221.207903120005,53529.19659838,25490.75701582,14000.0
2012-07-19 00:00:00 UTC,10617.552564520001,61122.315736050004,191113.13743037003,138984.25498765998,66322.03935717,12000.0
2012-04-20 00:00:00 UTC,1451.9903036199996,16473.4752814,24261.66573303,42556.88680541,21209.101523740002,22000.0
2010-05-31 00:00:00 UTC,1.6400000000000001,5.0,115.0,250.0,4000.0,17000.0
2011-03-27 00:00:00 UTC,12.405360889999999,71.71000000000001,489.38000000000005,29940.790000000005,,53000.0
2014-04-10 00:00:00 UTC,43907.32715403002,143821.83448938988,350220.0333776098,483553.00123322004,309282.14058614,19960.23113022
2018-08-17 00:00:00 UTC,38391.62640416996,158054.52237750994,764807.7173762098,2247420.64116221,2225826.12199575,22338.938322410002
2013-02-14 00:00:00 UTC,39735.46817645001,205642.65884582992,807639.0847243108,1011894.46097382,528183.04219271,10144.98
2015-04-05 00:00:00 UTC,102773.43070917026,581980.8391672196,1492223.1897096983,579734.5299931202,237366.53380031002,91608.49453773
2011-07-25 00:00:00 UTC,159.40835313,2771.68995801,1800.2378887,1320.44049336,5941.781701600001,12246.98937268
2013-09-12 00:00:00 UTC,36607.505161450004,149876.19413591988,413091.12147349,573541.79091494,545019.75709665,103643.33655116
2013-05-15 00:00:00 UTC,37986.77275889006,183932.28722912003,745657.2746662796,457464.89096081,227462.18942831998,76988.4842324
2012-12-16 00:00:00 UTC,22271.07566021,200542.77890377014,640522.06465675,943775.4579035096,274635.56702068995,12217.5565
2016-02-29 00:00:00 UTC,143384.47168680033,616313.49035577,1428304.876846461,1339175.3798109,311736.36662457,19725.16939074
2017-08-22 00:00:00 UTC,60283.37590912002,343452.2861350998,4369302.910076976,3551354.1984537896,657362.99598825,545959.68849341
2017-11-20 00:00:00 UTC,87092.48258000016,722888.9394657693,5666497.710594126,2192735.7424556995,2588859.7729067593,38177.46164807
2013-01-15 00:00:00 UTC,28608.230610969993,260585.32834528992,1069494.8720893904,1733528.9244943997,988427.4113136401,53880.0421
2013-03-16 00:00:00 UTC,27861.37419216001,173863.38938303987,968656.5744846408,2741467.41368637,859170.8680017099,47307.07339768
2016-12-25 00:00:00 UTC,59047.95557175992,382086.0238207599,2950914.4566425476,8411249.641159724,5961065.045809549,26215.446676860003
2014-07-09 00:00:00 UTC,51922.38000566985,160235.42023372016,422519.18901320995,918035.0586118902,496892.7518863801,49518.170183379996
2014-06-09 00:00:00 UTC,49738.233023499895,153269.55863250993,326660.55973495997,672845.3804946502,259302.6609341,22850.984049979998
2014-08-08 00:00:00 UTC,57953.01006101025,229630.71601664947,575940.5371969402,1487343.7151193602,227552.85742258996,93790.16092878
2014-02-09 00:00:00 UTC,45807.16298841996,149227.19761826994,398496.0649072,657647.8130489801,263783.83439326996,151064.72681668
2015-11-01 00:00:00 UTC,151192.77742897996,631292.7913875802,1314155.39841173,747902.4676128101,180309.3792739,74799.95300000001
2014-12-06 00:00:00 UTC,67405.29393308016,282874.1598191498,1730918.503460499,1222573.3200292794,341837.4015963101,919743.0077021901
2012-03-21 00:00:00 UTC,780.6097978900001,7100.851641020001,12124.6764594,24638.616137589997,32853.0872562,27084.29343361
2014-01-10 00:00:00 UTC,41124.41587027,128952.53889654999,252402.35340166016,509914.55443666,533179.5140305,99975.63804471
2012-06-19 00:00:00 UTC,6401.240641490003,32666.564313360006,68495.92464272,83460.44304458999,49417.11052888999,66997.9686
2013-07-14 00:00:00 UTC,28376.353272930064,160079.1907724899,367928.19612836,403477.35462064,274066.7113707,58457.797900000005
2015-01-05 00:00:00 UTC,82163.84617461992,290691.7681065007,779077.5451345602,1179319.97693708,645433.3216045201,133394.64788877
2015-03-06 00:00:00 UTC,89722.3720012999,281085.00467432,953956.2134982999,580316.35451749,362888.78756133,198998.46676152002
2011-05-26 00:00:00 UTC,21.5294985,169.98477262,1213.6857920000002,2518.978,6711.38,10273.02740206
2017-10-21 00:00:00 UTC,65652.59683843995,427668.69907591003,3185412.3788188333,1450344.6374065403,1059966.37904835,72058.86735266
2013-04-15 00:00:00 UTC,31742.104996480033,184836.44675603005,1159073.4405713195,1898261.3425927102,1138169.38807026,214796.02399890003
2017-06-23 00:00:00 UTC,49458.48354332993,319788.0351639603,3552686.0344707742,6130394.144821418,1643805.1489401,91818.9789
2010-12-27 00:00:00 UTC,4.43000001,29.200000000000003,82.0,734.83,,10000.31
2017-02-23 00:00:00 UTC,59594.717516669974,404955.29959591036,3736324.4975400674,7907674.843988834,2.3170176307058353E7,16437.85381982
2013-11-11 00:00:00 UTC,43719.708709839986,186663.48063948005,669356.86477228,875860.1220156801,1317801.19994466,189721.2989
2013-12-11 00:00:00 UTC,39667.653073639915,127264.22996996004,359942.1681629301,452874.81698476995,245577.33849447,103110.70118257
2014-09-07 00:00:00 UTC,61039.40557066992,304530.5862088501,760710.0218437398,1621171.8006937997,2011665.7368085298,53473.74991245
2016-08-27 00:00:00 UTC,69772.09444620002,319198.8289911304,1867247.18698427,2950003.2327495995,443978.62724812,36826.055228440004
2014-10-07 00:00:00 UTC,74120.88700254029,303373.92580811,630375.9968996298,1723167.4629709995,6701647.059769148,22997.99921
2013-08-13 00:00:00 UTC,36523.95657443,154838.65579930987,539787.4889942603,636320.82354473,186269.90534258995,3256139.5345000005
2018-01-19 00:00:00 UTC,56108.68873565005,251097.7169738604,2912893.787682319,3336359.048919178,6622715.543613881,1070335.71535325
