day,_0_to_1,_1_to_10,_10_to_100,_100_to_1000,_1000_to_100000,More_10000
2012-03-15 00:00:00 UTC,215,71,34,11,0,0
2012-02-16 00:00:00 UTC,201,76,25,5,0,0
2012-01-26 00:00:00 UTC,123,57,24,4,0,0
2011-12-29 00:00:00 UTC,78,38,18,7,0,0
2011-12-15 00:00:00 UTC,94,41,23,5,0,0
2011-12-01 00:00:00 UTC,66,32,24,2,0,0
2011-10-27 00:00:00 UTC,57,22,12,4,0,0
2011-10-20 00:00:00 UTC,45,22,18,3,0,0
2011-10-13 00:00:00 UTC,64,18,9,3,0,0
2011-09-29 00:00:00 UTC,52,20,7,1,0,0
2011-09-22 00:00:00 UTC,54,15,6,3,0,0
2011-09-15 00:00:00 UTC,60,14,14,2,0,0
2011-09-08 00:00:00 UTC,60,13,7,3,0,0
2011-09-01 00:00:00 UTC,180,18,6,1,0,0
2011-08-25 00:00:00 UTC,65,15,6,1,0,0
2011-08-18 00:00:00 UTC,93,37,10,2,0,0
2011-08-04 00:00:00 UTC,78,22,6,1,0,0
2011-07-28 00:00:00 UTC,69,15,9,0,0,0
2011-07-21 00:00:00 UTC,72,20,7,4,0,0
2011-07-14 00:00:00 UTC,65,27,6,1,0,0
2011-06-30 00:00:00 UTC,53,9,5,2,0,0
2011-06-23 00:00:00 UTC,67,7,11,1,0,0
2011-05-26 00:00:00 UTC,28,8,5,0,0,0
2011-05-19 00:00:00 UTC,37,4,2,0,0,0
2011-05-12 00:00:00 UTC,32,9,5,1,0,0
2011-05-05 00:00:00 UTC,19,3,3,3,0,0
2011-04-28 00:00:00 UTC,22,4,5,1,0,0
2011-04-21 00:00:00 UTC,20,4,2,0,0,0
2011-04-07 00:00:00 UTC,25,2,3,2,0,0
2011-03-31 00:00:00 UTC,22,7,3,1,0,0
2011-03-17 00:00:00 UTC,19,4,2,0,0,0
2011-03-10 00:00:00 UTC,8,0,4,0,0,0
2011-03-03 00:00:00 UTC,17,3,2,2,0,0
2011-02-24 00:00:00 UTC,31,5,1,2,0,0
2011-02-10 00:00:00 UTC,21,0,0,1,0,0
2011-02-03 00:00:00 UTC,7,2,1,2,0,0
2011-01-27 00:00:00 UTC,6,0,1,0,0,0
2011-01-20 00:00:00 UTC,8,2,1,0,0,0
2011-01-13 00:00:00 UTC,12,3,1,0,0,0
2011-01-06 00:00:00 UTC,9,2,0,2,0,0
2010-12-30 00:00:00 UTC,9,1,0,0,0,0
2010-12-16 00:00:00 UTC,12,0,1,0,0,0
2010-12-09 00:00:00 UTC,6,0,0,0,0,0
2010-12-02 00:00:00 UTC,5,1,0,0,0,0
2010-11-25 00:00:00 UTC,6,1,0,0,0,0
2010-11-18 00:00:00 UTC,11,1,0,1,0,0
2010-11-11 00:00:00 UTC,3,1,1,0,0,0
2010-11-04 00:00:00 UTC,7,1,2,0,0,0
2010-10-28 00:00:00 UTC,6,1,0,0,0,0
2010-10-21 00:00:00 UTC,2,1,1,0,0,0
2010-10-14 00:00:00 UTC,3,0,0,0,0,0
2010-10-07 00:00:00 UTC,7,0,0,1,0,0
2010-09-30 00:00:00 UTC,5,1,0,0,0,0
2010-09-23 00:00:00 UTC,4,0,0,1,0,0
2010-09-16 00:00:00 UTC,4,1,0,0,0,0
2010-09-09 00:00:00 UTC,4,0,0,0,0,0
2010-09-02 00:00:00 UTC,2,1,1,0,0,0
2010-08-26 00:00:00 UTC,5,1,1,0,0,0
2010-08-19 00:00:00 UTC,4,1,0,0,0,0
2010-08-05 00:00:00 UTC,4,1,0,4,0,0
2010-07-29 00:00:00 UTC,3,0,1,0,0,0
2010-07-22 00:00:00 UTC,3,1,0,0,0,0
2010-07-15 00:00:00 UTC,13,1,0,1,0,0
2010-07-08 00:00:00 UTC,5,4,3,1,0,0
2010-07-01 00:00:00 UTC,2,0,0,0,0,0
2010-06-17 00:00:00 UTC,1,0,1,0,0,0
2010-06-10 00:00:00 UTC,4,0,2,0,0,0
2010-06-03 00:00:00 UTC,0,0,0,1,0,0
2010-05-27 00:00:00 UTC,0,1,0,1,0,0
2010-05-06 00:00:00 UTC,0,0,1,1,0,0
2010-04-29 00:00:00 UTC,3,0,0,0,0,0
2010-04-15 00:00:00 UTC,1,0,0,0,0,0
2010-04-08 00:00:00 UTC,1,0,1,0,0,0
2010-02-25 00:00:00 UTC,1,0,0,0,0,0
2010-02-11 00:00:00 UTC,1,0,0,0,0,0
2010-01-21 00:00:00 UTC,0,0,1,1,0,0
2009-11-12 00:00:00 UTC,0,0,1,0,0,0
2009-10-01 00:00:00 UTC,0,0,0,1,0,0
2009-01-29 00:00:00 UTC,1,0,1,0,0,0
2013-05-30 00:00:00 UTC,7485,2204,708,124,1,0
2012-05-03 00:00:00 UTC,438,181,79,28,1,0
2012-04-26 00:00:00 UTC,270,129,54,12,1,0
2012-03-29 00:00:00 UTC,201,92,54,13,1,0
2012-02-23 00:00:00 UTC,184,65,33,8,1,0
2012-02-09 00:00:00 UTC,216,58,22,7,1,0
2012-02-02 00:00:00 UTC,111,57,20,3,1,0
2012-01-12 00:00:00 UTC,111,64,12,4,1,0
2012-01-05 00:00:00 UTC,117,44,18,4,1,0
2011-11-24 00:00:00 UTC,76,39,28,7,1,0
2011-11-17 00:00:00 UTC,62,24,15,7,1,0
2011-11-10 00:00:00 UTC,52,20,10,1,1,0
2011-11-03 00:00:00 UTC,72,22,9,3,1,0
2011-10-06 00:00:00 UTC,64,28,13,2,1,0
2011-07-07 00:00:00 UTC,82,28,2,1,1,0
2011-06-16 00:00:00 UTC,59,19,9,1,1,0
2011-06-02 00:00:00 UTC,44,13,8,2,1,0
2011-03-24 00:00:00 UTC,25,4,2,1,1,0
2011-02-17 00:00:00 UTC,23,0,1,0,1,0
2010-08-12 00:00:00 UTC,5,1,0,2,1,0
2010-04-22 00:00:00 UTC,1,1,2,3,1,0
2012-09-06 00:00:00 UTC,1355,487,290,42,2,0
2012-08-02 00:00:00 UTC,1091,416,282,54,2,0
2012-07-19 00:00:00 UTC,952,360,231,43,2,0
2012-06-28 00:00:00 UTC,693,293,152,31,2,0
2012-06-21 00:00:00 UTC,601,270,133,32,2,0
2012-06-14 00:00:00 UTC,577,236,98,35,2,0
2012-05-31 00:00:00 UTC,443,191,120,22,2,0
2012-05-10 00:00:00 UTC,411,195,78,18,2,0
2012-04-19 00:00:00 UTC,253,83,52,17,2,0
2012-01-19 00:00:00 UTC,142,67,29,6,2,0
2011-12-08 00:00:00 UTC,83,34,16,7,2,0
2018-04-19 00:00:00 UTC,21153,1194,290,55,3,0
2017-06-29 00:00:00 UTC,26656,2501,823,106,3,0
2016-08-25 00:00:00 UTC,38966,3926,1152,60,3,0
2016-02-04 00:00:00 UTC,83430,12011,2276,100,3,0
2015-07-02 00:00:00 UTC,46240,5546,1131,106,3,0
2015-02-05 00:00:00 UTC,37279,4871,1013,99,3,0
2012-11-08 00:00:00 UTC,1558,685,535,84,3,0
2012-08-30 00:00:00 UTC,1118,474,303,53,3,0
2012-07-05 00:00:00 UTC,703,291,158,31,3,0
2012-03-01 00:00:00 UTC,245,65,43,3,3,0
2011-12-22 00:00:00 UTC,89,28,12,5,3,0
2018-05-10 00:00:00 UTC,22494,987,276,43,4,0
2018-04-26 00:00:00 UTC,39923,1119,299,52,4,0
2018-03-22 00:00:00 UTC,18881,1156,537,45,4,0
2017-10-05 00:00:00 UTC,27045,1976,742,104,4,0
2016-09-29 00:00:00 UTC,41502,4067,1018,64,4,0
2016-09-01 00:00:00 UTC,40710,4358,1084,153,4,0
2016-08-18 00:00:00 UTC,41518,4307,1168,83,4,0
2015-11-26 00:00:00 UTC,78379,12719,3190,98,4,0
2015-06-25 00:00:00 UTC,48982,5736,1293,108,4,0
2015-04-02 00:00:00 UTC,41118,4917,1024,112,4,0
2012-09-27 00:00:00 UTC,1598,598,331,69,4,0
2012-09-13 00:00:00 UTC,1504,541,296,62,4,0
2012-08-23 00:00:00 UTC,1153,447,265,41,4,0
2012-05-24 00:00:00 UTC,450,186,113,22,4,0
2012-04-12 00:00:00 UTC,305,80,56,9,4,0
2012-04-05 00:00:00 UTC,209,90,55,9,4,0
2018-07-05 00:00:00 UTC,24655,1044,323,43,5,0
2018-06-28 00:00:00 UTC,25044,1331,341,64,5,0
2018-04-12 00:00:00 UTC,21347,1223,261,55,5,0
2017-03-23 00:00:00 UTC,28097,2987,793,79,5,0
2017-01-19 00:00:00 UTC,31364,3259,992,101,5,0
2016-11-24 00:00:00 UTC,37727,4232,1123,121,5,0
2016-10-13 00:00:00 UTC,36246,4351,933,92,5,0
2016-09-22 00:00:00 UTC,38695,3851,980,62,5,0
2015-11-12 00:00:00 UTC,69654,12329,3761,109,5,0
2015-07-23 00:00:00 UTC,45068,5471,1106,124,5,0
2015-05-21 00:00:00 UTC,44385,5171,1066,94,5,0
2015-05-14 00:00:00 UTC,43845,5228,1128,97,5,0
2015-05-07 00:00:00 UTC,45562,5304,1105,90,5,0
2014-12-25 00:00:00 UTC,31676,3761,726,87,5,0
2012-10-11 00:00:00 UTC,1840,585,343,59,5,0
2018-08-30 00:00:00 UTC,22748,1108,244,51,6,0
2018-08-09 00:00:00 UTC,23379,1047,255,52,6,0
2018-08-02 00:00:00 UTC,25621,1106,265,44,6,0
2018-07-12 00:00:00 UTC,24874,1228,360,49,6,0
2018-06-21 00:00:00 UTC,22513,1243,333,62,6,0
2018-06-14 00:00:00 UTC,21591,1043,296,47,6,0
2018-05-24 00:00:00 UTC,22666,947,322,57,6,0
2018-05-17 00:00:00 UTC,20967,1187,313,56,6,0
2018-05-03 00:00:00 UTC,29136,1021,317,50,6,0
2018-03-29 00:00:00 UTC,19044,1023,264,62,6,0
2018-02-22 00:00:00 UTC,25722,1226,287,61,6,0
2018-02-15 00:00:00 UTC,23548,1289,296,56,6,0
